datetime,price,volume
2024-07-29 09:30:00,4499.4,364
2024-07-29 09:31:00,4498.6,367
2024-07-29 09:32:00,4497.2,192
2024-07-29 09:33:00,4486.0,270
2024-07-29 09:34:00,4476.8,148
2024-07-29 09:35:00,4474.4,224
2024-07-29 09:36:00,4476.2,102
2024-07-29 09:37:00,4471.8,227
2024-07-29 09:38:00,4474.8,130
2024-07-29 09:39:00,4470.8,163
2024-07-29 09:40:00,4473.8,129
2024-07-29 09:41:00,4473.0,124
2024-07-29 09:42:00,4462.4,154
2024-07-29 09:43:00,4465.2,118
2024-07-29 09:44:00,4466.6,97
2024-07-29 09:45:00,4464.4,105
2024-07-29 09:46:00,4468.0,98
2024-07-29 09:47:00,4472.4,103
2024-07-29 09:48:00,4478.6,164
2024-07-29 09:49:00,4490.0,188
2024-07-29 09:50:00,4494.6,222
2024-07-29 09:51:00,4497.6,156
2024-07-29 09:52:00,4488.2,128
2024-07-29 09:53:00,4481.4,276
2024-07-29 09:54:00,4484.0,127
2024-07-29 09:55:00,4479.0,90
2024-07-29 09:56:00,4481.4,80
2024-07-29 09:57:00,4481.6,36
2024-07-29 09:58:00,4482.2,50
2024-07-29 09:59:00,4478.6,38
2024-07-29 10:00:00,4472.4,118
2024-07-29 10:01:00,4466.0,276
2024-07-29 10:02:00,4466.2,143
2024-07-29 10:03:00,4468.2,69
2024-07-29 10:04:00,4471.0,68
2024-07-29 10:05:00,4472.8,58
2024-07-29 10:06:00,4474.0,52
2024-07-29 10:07:00,4480.6,88
2024-07-29 10:08:00,4482.4,56
2024-07-29 10:09:00,4483.2,60
2024-07-29 10:10:00,4482.6,47
2024-07-29 10:11:00,4484.0,42
2024-07-29 10:12:00,4480.2,51
2024-07-29 10:13:00,4483.6,29
2024-07-29 10:14:00,4481.4,33
2024-07-29 10:15:00,4481.0,54
2024-07-29 10:16:00,4474.6,77
2024-07-29 10:17:00,4476.6,46
2024-07-29 10:18:00,4472.4,43
2024-07-29 10:19:00,4473.6,49
2024-07-29 10:20:00,4474.2,26
2024-07-29 10:21:00,4474.8,37
2024-07-29 10:22:00,4475.6,22
2024-07-29 10:23:00,4473.6,36
2024-07-29 10:24:00,4473.0,10
2024-07-29 10:25:00,4470.4,29
2024-07-29 10:26:00,4473.6,14
2024-07-29 10:27:00,4475.2,23
2024-07-29 10:28:00,4477.2,13
2024-07-29 10:29:00,4477.8,14
2024-07-29 10:30:00,4477.6,32
2024-07-29 10:31:00,4471.0,27
2024-07-29 10:32:00,4469.6,59
2024-07-29 10:33:00,4473.8,35
2024-07-29 10:34:00,4479.0,51
2024-07-29 10:35:00,4477.4,103
2024-07-29 10:36:00,4475.4,63
2024-07-29 10:37:00,4474.2,73
2024-07-29 10:38:00,4470.2,23
2024-07-29 10:39:00,4470.8,15
2024-07-29 10:40:00,4472.0,29
2024-07-29 10:41:00,4469.0,51
2024-07-29 10:42:00,4472.6,17
2024-07-29 10:43:00,4473.0,80
2024-07-29 10:44:00,4472.4,60
2024-07-29 10:45:00,4475.0,20
2024-07-29 10:46:00,4478.0,40
2024-07-29 10:47:00,4478.0,28
2024-07-29 10:48:00,4474.8,18
2024-07-29 10:49:00,4474.0,16
