,Param,Cum_PnL,Sharpe,Sortino,Max Drawdown,Win Ratio
0,"[54, 30, 15]",56560.0,1.233134741442399,0.39977426323165255,-0.16974674880218638,0.6904761904761905
1,"[55, 30, 15]",57120.0,1.2225898088151306,0.40291326022299473,-0.168135593220334,0.6666666666666666
2,"[53, 30, 15]",56160.0,1.2144546290003295,0.41597959230411197,-0.17091660923500587,0.6590909090909091
3,"[52, 30, 15]",55080.0,1.1935179422253714,0.40367542285453617,-0.1741573033707817,0.6444444444444445
4,"[54, 30, 14]",53920.0,1.1745326455256986,0.4002231243102245,-0.17275985663082258,0.675
5,"[55, 30, 14]",54480.0,1.1650821108693021,0.4009573447996414,-0.1710432931156819,0.65
6,"[53, 30, 14]",53520.0,1.1563557931760642,0.41380776611883685,-0.1740072202166041,0.6428571428571429
7,"[52, 30, 14]",52440.0,1.1353236086407281,0.3990911777747764,-0.17746686303387066,0.627906976744186
8,"[51, 30, 15]",56000.0,1.1247521914958276,0.42008687447340487,-0.17138908085694154,0.6222222222222222
9,"[54, 30, 16]",51480.0,1.1209847721629214,0.3415138418805954,-0.21514242878560347,0.6744186046511628
10,"[55, 30, 16]",52040.0,1.1125183168504216,0.34473017495361485,-0.21290801186943095,0.6511627906976745
11,"[53, 30, 16]",51080.0,1.1032540025410231,0.35324244407946986,-0.21676737160120393,0.6444444444444445
12,"[56, 30, 15]",48120.0,1.0979633581430994,0.34635588374307735,-0.1983999999999935,0.6341463414634146
13,"[57, 30, 15]",47560.0,1.0962368281590702,0.3386809364489157,-0.20064724919093346,0.65
14,"[52, 30, 16]",50000.0,1.0821258472375141,0.3432481007780414,-0.22127987663839133,0.6304347826086957
15,"[54, 30, 17]",49840.0,1.0812739221071328,0.31542655733520647,-0.21719109746737175,0.6590909090909091
16,"[55, 30, 17]",50400.0,1.0736282891758886,0.3208445322786713,-0.21488230827637306,0.6363636363636364
17,"[51, 30, 14]",53360.0,1.0709226742240885,0.41491393512810987,-0.17451122375090342,0.6046511627906976
18,"[58, 30, 15]",45840.0,1.0653522141562979,0.31811099760984274,-0.20787929589270326,0.6410256410256411
19,"[53, 30, 17]",49440.0,1.0639615743686341,0.327797680961391,-0.21887084300076126,0.6304347826086957
20,"[59, 30, 15]",45600.0,1.0595640233460293,0.3177464145264403,-0.2089300758213941,0.6153846153846154
21,"[50, 30, 15]",51000.0,1.0480875166224795,0.377095133392847,-0.18759455370649894,0.6136363636363636
22,"[45, 30, 15]",53000.0,1.0479244414063653,0.37065728909356543,-0.18294460641398458,0.6382978723404256
23,"[52, 30, 17]",48360.0,1.0428262257211567,0.3201242216119761,-0.2235387045813458,0.6170212765957447
24,"[56, 30, 14]",45480.0,1.036764595492505,0.34018580805189425,-0.20354729729729323,0.6153846153846154
25,"[57, 30, 14]",44920.0,1.0344104382066535,0.33371941046476006,-0.20598290598290359,0.631578947368421
26,"[51, 30, 16]",50920.0,1.021647033922445,0.35688422856706153,-0.21742424242423877,0.6086956521739131
27,"[49, 30, 15]",51640.0,1.0186998730571457,0.37080509886126006,-0.1853512705530588,0.6086956521739131
28,"[54, 30, 18]",47440.0,1.0131245259162025,0.3277867962306119,-0.2397425583266047,0.6521739130434783
29,"[55, 30, 18]",48000.0,1.007084193904583,0.33132275041544224,-0.2688941925218472,0.6304347826086957
30,"[48, 30, 15]",51200.0,1.0055795631712365,0.3687615619488016,-0.18688771665410073,0.6222222222222222
31,"[58, 30, 14]",43200.0,1.003044961418485,0.31171934695831055,-0.21384205856255414,0.6216216216216216
32,"[46, 30, 15]",49360.0,0.9995218952746558,0.34952470002390346,-0.19359875097579746,0.6382978723404256
33,"[59, 30, 14]",42960.0,0.9972761680862903,0.30980948880300174,-0.21498661909009661,0.5945945945945946
34,"[45, 30, 14]",50360.0,0.9970839855349061,0.36376475536075803,-0.2151607963246463,0.6222222222222222
35,"[53, 30, 18]",47040.0,0.9967448217854499,0.337666225266022,-0.2197891321978825,0.625
36,"[50, 30, 14]",48360.0,0.993139901014391,0.37100600016732055,-0.19187898089171565,0.5952380952380952
37,"[54, 30, 13]",46800.0,0.9901378316878672,0.340543475221715,-0.2992518703241803,0.6341463414634146
38,"[55, 30, 13]",47360.0,0.987477593302864,0.34151282407997585,-0.2949876746096815,0.6097560975609756
39,"[51, 30, 17]",49280.0,0.9856477286907038,0.33349927311986977,-0.21955003878974827,0.5957446808510638
40,"[54, 30, 10]",44760.0,0.9827151639892983,0.34709476599413963,-0.2529043789097351,0.6486486486486487
41,"[56, 30, 16]",43040.0,0.9808031822931996,0.2896902336530845,-0.2555654496883276,0.6190476190476191
