datetime,price,volume,现货价格
2021-05-28 09:30:00,5327.0,2275,5331.55
2021-05-28 09:31:00,5320.8,1369,5327.83
2021-05-28 09:32:00,5318.2,1038,5323.53
2021-05-28 09:33:00,5321.8,941,5325.97
2021-05-28 09:34:00,5311.2,1190,5320.03
2021-05-28 09:35:00,5311.2,1376,5321.45
2021-05-28 09:36:00,5311.2,1210,5315.6
2021-05-28 09:37:00,5324.4,1157,5325.87
2021-05-28 09:38:00,5332.2,1383,5332.82
2021-05-28 09:39:00,5326.6,900,5329.79
2021-05-28 09:40:00,5328.4,823,5338.23
2021-05-28 09:41:00,5322.6,644,5334.43
2021-05-28 09:42:00,5320.8,695,5326.6
2021-05-28 09:43:00,5320.0,376,5330.38
2021-05-28 09:44:00,5321.0,652,5331.0
2021-05-28 09:45:00,5322.8,518,5330.49
2021-05-28 09:46:00,5329.4,549,5338.32
2021-05-28 09:47:00,5326.6,386,5339.44
2021-05-28 09:48:00,5340.6,933,5345.55
2021-05-28 09:49:00,5334.0,777,5341.56
2021-05-28 09:50:00,5334.8,362,5342.75
2021-05-28 09:51:00,5334.4,387,5344.39
2021-05-28 09:52:00,5331.6,461,5341.92
2021-05-28 09:53:00,5335.2,351,5343.74
2021-05-28 09:54:00,5334.0,237,5345.76
2021-05-28 09:55:00,5331.6,378,5342.93
2021-05-28 09:56:00,5325.2,501,5338.01
2021-05-28 09:57:00,5330.6,371,5337.41
2021-05-28 09:58:00,5326.6,340,5337.07
2021-05-28 09:59:00,5325.0,260,5336.33
2021-05-28 10:00:00,5329.6,443,5339.38
2021-05-28 10:01:00,5331.0,638,5338.99
2021-05-28 10:02:00,5331.8,306,5340.91
2021-05-28 10:03:00,5330.4,236,5338.9
2021-05-28 10:04:00,5332.0,228,5339.3
2021-05-28 10:05:00,5333.8,348,5343.74
2021-05-28 10:06:00,5336.6,485,5347.69
2021-05-28 10:07:00,5334.0,430,5346.34
2021-05-28 10:08:00,5328.8,475,5341.76
2021-05-28 10:09:00,5329.8,373,5342.22
2021-05-28 10:10:00,5334.4,298,5348.34
2021-05-28 10:11:00,5335.0,228,5345.64
2021-05-28 10:12:00,5335.6,235,5347.35
2021-05-28 10:13:00,5337.2,552,5349.46
2021-05-28 10:14:00,5329.6,404,5342.06
2021-05-28 10:15:00,5327.6,468,5339.64
2021-05-28 10:16:00,5329.6,292,5341.63
2021-05-28 10:17:00,5327.4,375,5340.0
2021-05-28 10:18:00,5323.2,383,5336.78
2021-05-28 10:19:00,5324.6,338,5336.45
2021-05-28 10:20:00,5328.6,219,5339.38
2021-05-28 10:21:00,5327.0,173,5339.47
2021-05-28 10:22:00,5322.6,184,5336.84
2021-05-28 10:23:00,5320.6,392,5332.58
2021-05-28 10:24:00,5320.4,388,5330.38
2021-05-28 10:25:00,5323.2,399,5329.64
2021-05-28 10:26:00,5323.6,153,5330.76
2021-05-28 10:27:00,5324.2,152,5331.65
