datetime,price,volume,现货价格
2024-09-23 09:30:00,3184.6,5,3199.39
2024-09-23 09:31:00,3183.8,19,3199.13
2024-09-23 09:32:00,3196.2,35,3209.63
2024-09-23 09:33:00,3191.2,6,3208.37
2024-09-23 09:34:00,3192.2,5,3207.49
2024-09-23 09:35:00,3194.4,16,3209.87
2024-09-23 09:36:00,3198.8,4,3212.08
2024-09-23 09:37:00,3203.2,18,3215.44
2024-09-23 09:38:00,3206.8,14,3218.33
2024-09-23 09:39:00,3203.2,9,3215.76
2024-09-23 09:40:00,3205.8,14,3217.25
2024-09-23 09:41:00,3210.2,12,3221.12
2024-09-23 09:42:00,3212.4,16,3221.46
2024-09-23 09:43:00,3213.8,8,3222.79
2024-09-23 09:44:00,3214.8,20,3223.1
2024-09-23 09:45:00,3212.8,8,3220.56
2024-09-23 09:46:00,3211.6,6,3221.03
2024-09-23 09:47:00,3211.6,8,3219.09
2024-09-23 09:48:00,3214.6,6,3221.61
2024-09-23 09:49:00,3216.6,20,3223.77
2024-09-23 09:50:00,3210.0,16,3219.97
2024-09-23 09:51:00,3209.0,27,3217.67
2024-09-23 09:52:00,3210.2,7,3217.57
2024-09-23 09:53:00,3209.0,3,3217.39
2024-09-23 09:54:00,3208.2,8,3218.08
2024-09-23 09:55:00,3206.4,3,3215.52
2024-09-23 09:56:00,3208.0,11,3216.17
2024-09-23 09:57:00,3210.0,14,3219.11
2024-09-23 09:58:00,3212.2,5,3220.8
2024-09-23 09:59:00,3211.0,3,3222.34
2024-09-23 10:00:00,3210.4,4,3219.63
2024-09-23 10:01:00,3208.4,8,3216.55
2024-09-23 10:02:00,3207.6,2,3215.28
2024-09-23 10:03:00,3205.2,3,3213.65
2024-09-23 10:04:00,3203.4,2,3213.76
2024-09-23 10:05:00,3202.6,9,3211.97
2024-09-23 10:06:00,3204.6,5,3212.97
2024-09-23 10:07:00,3205.4,3,3213.52
2024-09-23 10:08:00,3203.8,3,3211.8
2024-09-23 10:09:00,3200.0,1,3209.75
2024-09-23 10:10:00,3204.0,7,3212.17
2024-09-23 10:11:00,3203.0,11,3212.19
2024-09-23 10:12:00,3202.0,2,3212.42
2024-09-23 10:13:00,3204.6,3,3212.52
2024-09-23 10:14:00,3202.4,2,3212.93
2024-09-23 10:15:00,3201.0,2,3212.76
2024-09-23 10:16:00,3202.2,4,3212.78
2024-09-23 10:17:00,3203.4,4,3214.36
2024-09-23 10:18:00,3206.0,5,3216.35
2024-09-23 10:19:00,3207.6,4,3217.77
2024-09-23 10:20:00,3208.0,1,3218.07
2024-09-23 10:21:00,3209.0,13,3218.22
2024-09-23 10:22:00,3207.4,7,3217.38
2024-09-23 10:23:00,3208.4,4,3218.75
2024-09-23 10:24:00,3209.0,2,3219.11
2024-09-23 10:25:00,3208.6,8,3219.19
2024-09-23 10:26:00,3208.8,1,3219.03
2024-09-23 10:27:00,3208.2,2,3217.52
2024-09-23 10:28:00,3207.0,3,3217.54
2024-09-23 10:29:00,3205.6,2,3216.35
2024-09-23 10:30:00,3202.4,9,3214.32
2024-09-23 10:31:00,3202.6,1,3214.27
2024-09-23 10:32:00,3201.8,6,3214.13
2024-09-23 10:33:00,3202.4,3,3213.92
2024-09-23 10:34:00,3203.8,5,3215.12
2024-09-23 10:35:00,3204.6,2,3214.53
2024-09-23 10:36:00,3203.6,3,3214.63
2024-09-23 10:37:00,3204.0,11,3215.67
2024-09-23 10:38:00,3203.0,2,3214.97
2024-09-23 10:39:00,3203.0,0,3215.46
2024-09-23 10:40:00,3205.4,3,3216.18
2024-09-23 10:41:00,3204.6,3,3215.97
2024-09-23 10:42:00,3206.0,1,3217.68
2024-09-23 10:43:00,3207.0,4,3218.43
2024-09-23 10:44:00,3204.4,7,3216.66
2024-09-23 10:45:00,3204.4,3,3216.65
2024-09-23 10:46:00,3205.0,2,3216.5
2024-09-23 10:47:00,3207.2,4,3218.74
2024-09-23 10:48:00,3206.8,8,3218.68
2024-09-23 10:49:00,3206.8,0,3217.16
2024-09-23 10:50:00,3206.2,1,3217.08
2024-09-23 10:51:00,3205.0,1,3216.7
2024-09-23 10:52:00,3205.0,2,3216.95
2024-09-23 10:53:00,3207.0,6,3218.84
2024-09-23 10:54:00,3208.8,2,3219.86
2024-09-23 10:55:00,3209.8,7,3221.27
2024-09-23 10:56:00,3211.0,7,3221.97
2024-09-23 10:57:00,3210.8,6,3221.84
2024-09-23 10:58:00,3210.2,1,3221.57
2024-09-23 10:59:00,3212.0,5,3222.28
2024-09-23 11:00:00,3210.0,5,3221.86
2024-09-23 11:01:00,3212.8,8,3224.83
2024-09-23 11:02:00,3215.8,12,3226.59
2024-09-23 11:03:00,3219.0,5,3228.91
2024-09-23 11:04:00,3216.8,18,3228.38
2024-09-23 11:05:00,3216.0,1,3226.01
2024-09-23 11:06:00,3212.0,6,3223.38
2024-09-23 11:07:00,3212.0,0,3222.68
2024-09-23 11:08:00,3210.2,4,3222.04
2024-09-23 11:09:00,3209.4,9,3221.92
2024-09-23 11:10:00,3208.6,3,3221.33
2024-09-23 11:11:00,3207.8,4,3221.35
2024-09-23 11:12:00,3210.6,10,3221.98
2024-09-23 11:13:00,3212.2,9,3223.46
2024-09-23 11:14:00,3211.4,4,3222.83
2024-09-23 11:15:00,3211.4,0,3222.28
2024-09-23 11:16:00,3208.4,1,3221.52
2024-09-23 11:17:00,3210.4,1,3222.46
2024-09-23 11:18:00,3210.4,4,3222.81
2024-09-23 11:19:00,3211.4,6,3222.63
2024-09-23 11:20:00,3212.4,7,3223.12
2024-09-23 11:21:00,3211.8,3,3222.77
2024-09-23 11:22:00,3212.6,2,3223.57
2024-09-23 11:23:00,3212.4,2,3223.32
2024-09-23 11:24:00,3212.6,8,3223.24
2024-09-23 11:25:00,3211.0,4,3222.39
2024-09-23 11:26:00,3210.0,5,3222.28
2024-09-23 11:27:00,3210.0,4,3223.02
2024-09-23 11:28:00,3211.6,2,3223.25
2024-09-23 11:29:00,3210.6,10,3223.16
